,input,output
2527,철수와 영이와 같이 논다.,철수와 영이가 같이 논다.
2528,국민의 의무나 수행했다는 안도감이라도 느끼고 있는 것일까?,국민의 의무라도 수행했다는 안도감이라도 느끼고 있는 것일까?
2529,나는 아버지의 추리가 방해하고 싶었다.,나는 아버지의 추리를 방해하고 싶었다.
2530,어머니는 그녀를 훌륭한 예술가로 키웠다.,어머니는 그녀를 훌륭한 예술가로 키웠다.
2531,그는 단단히 보이지만 속은 무르다.,그는 단단하게 보이지만 속은 무르다.
2532,철수를 밥을 먹었다.,철수가 밥을 먹었다.
2533,영희가 벽을 붙였다.,영희가 포스터를 붙였다.
2534,그는 마지막을 가서는 이 일을 포기했다.,그는 마지막에 가서는 이 일을 포기했다.
2535,"철수는 빚을 깎이고, 순희는 월급을 깎였다.","철수는 빚이 깎이고, 순희는 월급이 깎였다."
2536,나는 언제 철수는 도착하는지 궁금하지 않다.,나는 철수는 언제 도착하는지 궁금하지 않다.
2537,"내 철수, 효자로구먼.","우리 철수, 효자로구먼."
2538,인수가 순이를 손가락을 베었다.,인수가 순이의 손가락을 베었다.
2539,진이는 탱크를 물을 비웠다.,진이는 탱크에서 물을 비웠다.
2540,모래사장에서 이름이 매우 지워졌다.,모래사장에서 이름이 아주 지워졌다.
2541,철수는 너무 학생이다.,철수는 너무 학생답다.
2542,철수가 그 책을 늘 왔다.,철수가 그 책을 늘 읽어 왔다.
2543,"네, 우리 집에 갔어요.","네, 우리 집에 왔어요."
2544,오늘은 거의 바람이 분다.,오늘은 매우 바람이 분다.
2545,여행 가방에 꼬리표가 달리고 있다.,여행 가방에 꼬리표가 달려 있다.
2546,정이는 고향에서를 떠났다.,정이는 고향 떠났다.
2547,손잡이가 문을 닫는다.,동생이 문을 닫는다.
2548,그가 천잼에 틀림없다.,그가 천재임에 틀림없다.
2549,연수는 동수와 웃었다.,동수와 연수는 웃었다.
2550,철수의 아버지 사진이 돌이의 아버지 그것보다 더 낡았다.,철수의 아버지의 사진이 돌이의 아버지의 그것보다 더 낡았다.
2551,할머니는 알아들을 수없이 중얼거리고 있었다.,할머니는 알아들을 수 없게 중얼거리고 있었다.
2552,나는 어제 저녁은 꼭 집에 가서 먹었겠다.,나는 어제저녁은 꼭 집에 가서 먹었겠다.
2553,물결치는 소리가 출렁해한다.,물결치는 소리가 출렁한다.
2554,진이는 근이를 돈을 빼앗았다.,진이는 근이한테서 돈을 빼앗았다.
2555,친구를 만나느라니까 술을 마시러 간다.,오랜만에 친구를 만나니까 술을 마시러 간다.
2556,한별이는 나에게 집을 지었다.,한별이는 나에게 집을 지어 주었다.
2557,그가 사무실에서 자거나 나는 관심도 없어.,그가 사무실에서 자거나 말거나 나는 관심도 없어.
2558,우리 학교의 이 교실은 이웃 학교의 교실 중에서 가장 더럽다.,우리 학교의 이 교실은 우리 학교와 이웃 학교의 교실 중에서 가장 더럽다.
2559,철수는 영희가 훌륭하게 생각한다.,철수는 영희를 훌륭하게 생각한다.
2560,정부는 이번 수해 대책 마련을 골몰하고 있다.,정부는 이번 수해 대책 마련을 골몰하고 있다.
2561,정수가 영희가 골똘히 춤을 춘다고 생각했다.,정수가 영희가 아름답게 춤을 춘다고 생각했다.
2562,작가의 생각은 고양이를 싫어하는 사람들을 적지 않은 감동을 준다.,작가의 생각은 고양이를 싫어하는 사람들에게 적지 않은 감동을 준다.
2563,우리의 염원은 통일만이다,우리의 염원은 통일뿐이다
2564,할아버지께서 노인정에 가셨던 것 같으시다.,할아버지께서 노인정에 가셨던 것 같다.
2565,책이 선생님은 많으시다.,선생님은 책이 많으시다.
2566,예쁘게 영희는 생겼다.,영희는 예쁘게 생겼다.
2567,부부가 매우 같아졌다.,부부가 거의 같아졌다.
2568,철수는 둥근 철사를 둥글게 휘었다.,철수는 철사를 둥글게 휘었다.
2569,너가 뭘 먹을래?,너 뭘 먹을래?
2570,순이가 벽을 부딪혔다.,순이가 벽에 부딪혔다.
2571,나는 숙제를 할 것입니다.,나는 숙제를 할 것입니다.
2572,그는 사다리에 내려갔다.,그는 사다리를 내려갔다.
2573,철수가 영희에게 지훈이를 만나 주었다.,철수가 지훈이를 만나 주었다.
2574,거리에를 사람들이 많다.,거리에도 사람들이 많다.
2575,"아이, 우리 순이가 예뻐라.","아이, 우리 순이가 예뻐라."
2576,그는 축구 선수로 아들을 만들었다.,그는 아들을 축구 선수로 만들었다.
2577,아버님이 매국노이시다.,아버님이 매국노가 아니시다.
2578,왜 그 일을 했나 보다.,왜 그 일을 했나 싶다.
2579,나는 추위가 두렵다.,나는 추위가 두렵다.
2580,홀마크 사의 전시장은 세계에서 가장 규모가 큰다.,홀마크 사의 전시장은 세계에서 가장 규모가 크다.
2581,그가 떠났는지 나는 몰라.,그가 떠났는지 몰라.
2582,철수가 선생님께서 선물을 드리다.,철수가 선생님께서 선물을 드리다.
2583,내가 친구가 집을 샀다.,친구가 나의 집을 샀다.
2584,연필이 침입자를 막았다.,철책이 침입자를 막았다.
2585,나도 살을 빼고 싶겠다.,철수도 살을 빼고 싶겠다.
2586,이 방의 온도가 거의 높아졌다.,이 방의 온도가 거의 3도 높아졌다.
2587,그 그림은 너무 사실이다.,그 그림은 너무 사실적이다.
2588,철수가 스케이트에 탔다.,철수가 스케이트를 탔다.
2589,철수는 영어 숙제를 한 시간 동안 끝냈다.,철수는 영어 숙제를 한 시간 동안에 끝냈다.
2590,그는 아들을 연예인으로 만들었다.,그는 아들을 연예인으로 만들었다.
2591,대학생 세 명이 왔고 고등학생도 그랬다.,대학생이 세 명 왔고 고등학생도 그랬다.
2592,아무리 바빠도 친구 결혼식에는 간다.,아무리 바빠도 친구 결혼식에는 간다.
2593,쓰레기통이 매우 비었다.,쓰레기통이 거의 비었다.
2594,나는 어제 갔더란다.,나는 어제 갔단다.
2595,김 선생님의 시험이 어려우시다.,김 선생님의 시험이 어렵다.
2596,내가 매일 같은 반찬에 물렸다. ,나는 매일 같은 반찬에 물렸다.
2597,하숙집은 학교에 서로 가까운 곳에 있다.,하숙집은 학교와 서로 가까운 곳에 있다.
2598,학생이 선생님께들 질문을 하였다.,학생들이 선생님께들 질문을 하였다.
2599,나는 나의 건강이 두렵다.,나는 나의 건강이 두렵다.
2600,"반지가 손가락에 잘 안 들어가서, 억지로 끼어 넣었다.","반지가 손가락에 잘 안 들어가서, 억지로 끼워 넣었다."
2601,"네가 영미가 싫은가 본데, 나도 영미가 그렇다.","네가 영미가 싫은가 본데, 나도 그렇다."
2602,예쁠 아이를 찾아봐.,예쁠 아이를 찾아봐.
2603,철수가 집을 떠났기가 명백하다.,철수가 집을 떠났음이 명백하다.
2604,제가 은선 스님을 대수롭게 여기는 것이 그 까닭입니다.,제가 은선 스님을 대단하게 여기는 것이 그 까닭입니다.
2605,시험에 떨어졌기 때문에 다시 공부하세요.,시험에 떨어졌기 때문에 다시 공부하세요.
2606,관광 비자로 같이 계시려면 6개월 즈음마다 외국으로 한 번 나갔다 와야 되거든요.,관광 비자로 같이 계시려면 6개월쯤마다 외국으로 한 번 나갔다 와야 되거든요.
2607,장미의 노란 것을 주세요.,장미를 노란 것을 주세요.
2608,"병원에 갔다, 철수가 머리가 아프니까.","철수가 병원에 갔다, 머리가 아프니까."
2609,"소고기가 새까맣게 구워졌고, 돼지고기도 새까맣게 그래졌다.","소고기가 새까맣게 구워졌고, 돼지고기도 그래졌다."
2610,고개를 숙인 아들은 몹시 괴로운 표정은 아닌가!,고개를 숙인 아들은 몹시 괴로운 표정이 아닌가!
2611,사과가 달지 말고 배가 달다.,사과 말고 배가 달다.
2612,향순은 한 번 더 가볍지 않은 앙탈 비슷하게 반발했다.,향순은 한 번 더 가벼운 앙탈 비슷하게 반발했다.
2613,그 무관심 뒤에 또 다른 아이들이 죽어 올 것이다.,그 무관심 뒤에 또 다른 아이들이 죽어 올 것이다.
2614,얼음이 녹아 버리고 있다.,얼음이 녹아 버려서 이제 얼음이 없다.
2615,"지금 두고 봐라, 그가 어떻게 하는가.","지금 두고 봐라, 그가 어떻게 하는가."
2616,그들은 이번 공사를 특별히 유의했다.,그들은 이번 공사에 특별히 유의했다.
2617,늦을 것이다. 서둘러라.,늦겠다. 서둘러라.
2618,이 선생은 학생이 때렸음이 후회스러웠다.,이 선생은 학생을 때렸음이 후회스러웠다.
2619,예희는 자기 팀 선수들이 멋진 높이뛰기를 원했다.,예희는 자기 팀 선수들이 좀 더 높이뛰기를 원했다.
2620,이것은 우리가 먹어도 되지 않는다.,이것은 우리가 먹어도 된다.
2621,영희는 시간을 재어 오면서 공부를 한다.,영희는 시간을 재어 가면서 공부를 한다.
2622,할아버지께서 인수에 의해 데려가졌다.,인수가 할아버지를 모셨다.
2623,내일 비가 온댄다.,내일 비가 온단다.
2624,아버지께서 선물을 사 오셨으면 하신다.,아버지께서 선물을 사 오셨으면 한다.
2625,그 작가는 4월 드디어 시집을 냈다.,그 작가는 지난 4월 드디어 시집을 냈다.
2626,포로들은 석방 처분을 받았다.,포로들은 석방 처분을 받았다.
2627,영수는 집을 지어 있다.,영수는 그 집을 짓고 있다.
2628,그녀는 문을 다가갔다.,그녀는 문에 다가갔다.
2629,책상이 벽으로 바짝 붙었다.,책상이 벽으로 바짝 붙었다.
2630,아이가 민요도 부르며 동요도 부르며 부른다.,아이가 민요도 부르며 동요도 부르며 한다.
2631,늦잠 자다가 지각할래?,늦잠 자다가 지각하겠지?
2632,올여름에 경포대 가냐?,올여름에 경포대 가냐?
2633,그가 김을 매지는 않다.,그가 김을 매지는 않는다.
2634,다음에 나오는 돌은 검은 돌이겠다.,다음에 나오는 돌은 검은 돌이겠다.
2635,요새 조금 있는 집 애들이 더 해.,요새 좀 있는 집 애들이 더 해.
2636,영희가 고의로 철수에게 손목이 잡혔다.,영희가 고의로 철수에게 손목을 잡혔다.
2637,일주일까지 일주일을 미리 계획을 세워 일하는 것이 즉석에서 하는 것보다 성공할 확률이 높다.,일주일이라도 일주일을 미리 계획을 세워 일하는 것이 즉석에서 하는 것보다 성공할 확률이 높다.
2638,집에 거의 다 갔다.,집에 거의 다 왔다.
2639,그가 고의적으로 얼굴이 예쁘다.,그가 고의적으로 문서를 빼돌렸다.
2640,그 꽃이 아름답기는 한다.,그 꽃이 아름답기는 하다.
2641,아이가 밥을 먹지가 않는다.,아이가 밥을 먹지를 않는다.
2642,철수가 오지 않은 것이 너희에게는 퍽 슬프다.,철수가 오지 않은 것이 너희에게는 퍽 다행스럽다.
2643,선생님 같으셔도 그런 일을 하면 안 되셨을 텐데…….,선생님 같아도 그런 일을 하면 안 되셨을 텐데…….
2644,사무실에 갔다. 그러니까 부장이 앉아 있었다.,사무실에 가니까 부장이 앉아 있었다.
2645,감기에 그만 걸렸다.,감기에 그만 걸렸다.
2646,그 사람이 가는 안 하요.,그 사람이 가도 안 하요.
2647,나는 수학이 공부가 하고 싶다.,나는 수학을 공부를 하고 싶다.
2648,음식상을 내려놓던 길로 방금 나가 버렸다.,음식상을 내려놓던 길로 금방 나가 버렸다.
2649,그는 민주적이지 아니다.,그는 민주적이지 못하다.
2650,영희가 책을 누구 주었니?,영희가 책을 누구 주었니?
2651,시집을 가자마자 6·25사변이 나서 남편이 군에 입대했다.,시집을 가자마자 6·25사변이 나는 바람에 남편이 군에 입대했다.
2652,나는 어제 아파서 일찍 퇴근했다. 그러나 사실은 난 아프지 않았다.,나는 어제 아프다고 일찍 퇴근했다. 그러나 사실은 난 아프지 않았다.
2653,철수가 30분 동안 자동차에 탔다.,철수가 30분 동안 자동차를 탔다.
2654,세 그들이 뭔가 꾸미고 있다.,그들 셋이 뭔가 꾸미고 있다.
2655,아무도 못생겼다.,아무도 못생기지 않았다.
2656,나는 내일 가겠단다.,나는 내일 간단다.
2657,목동이 양 떼를 몰아 두었다.,목동이 양 떼를 우리 안에 몰아넣어 두었다.
2658,초기 중세 대학은 오늘날의 대학과 도서관도 실험실도 박물관도 심지어 부속 건물도 없었다.,초기 중세 대학은 오늘날의 대학과 같이 도서관도 실험실도 박물관도 심지어 부속건물도 없었다.
2659,영희는 가만히 있는 아이를 넘어뜨렸다.,영희는 가만히 있는 아이를 넘어뜨렸다.
2660,사장은 인사 부장을 경리 부장과 서로를 교체했다.,사장은 인사 부장과 경리 부장을 서로를 교체했다.
2661,너는 기쁘다.,나는 기쁘다.
2662,진이는 그 운동장에 2분 만에 돌았다.,진이는 그 운동장을 2분 만에 돌았다.
2663,경찰이 범인을 두 명을 잡았다.,경찰이 범인을 두 명을 잡았다.
2664,욕이 먹어지지 않는다.,밥이 먹어지지 않는다.
2665,선생님이 철수가 싫다.,선생님이 철수가 싫으시다.
2666,정미가 언어학을 공부가 했다.,정미가 언어학을 공부를 했다.
2667,수면이 달빛에 거의 빛이 난다.,수면이 달빛에 아주 빛이 난다.
2668,춘천은 살기가 좋다.,춘천은 살기가 좋다.
2669,할아버지께서는 곧 오시겠다고 했다.,할아버지께서는 곧 오시겠다고 하셨다.
2670,참혹한 전쟁터에서는 사람의 목숨이 파리 목숨하고 진배없다.,참혹한 전쟁터에서는 사람의 목숨이 파리 목숨과 진배없다.
2671,나는 그의 무례한 행동이 서러워했다.,나는 그의 무례한 행동이 서러워했다.
2672,영희의 방 걸레질이 아주 서툴렀다.,영희는 지금 방을 걸레질 중이다.
2673,"자네, 영화 좀은 보고 사나?","자네, 영화는 좀 보고 사나?"
2674,변화를 갈망하는 시민들의 목소리가 어느 그때보다 높습니다.,변화를 갈망하는 시민들의 목소리가 어느 그때보다 높습니다.
2675,"윤 님, 많이 기다렸습니다.","윤희숙 님, 많이 기다렸습니다."
2676,나는 아이를 공을 던졌다.,나는 아이에게 공을 던졌다.
2677,"여보시오, 여기 아무도 없느냐?","여봐라, 여기 아무도 없느냐?"
2678,회사를 나와서 핸드백하고 하루 종일 여기 저기 돌아다녔다.,회사를 나와서 영희하고 하루 종일 여기 저기 돌아다녔다.
2679,그러므로 회사의 내용이 좋다. 그래 많은 이익을 얻을 것으로 기대된다.,그러므로 회사의 내용이 좋다. 그리하여 많은 이익을 얻을 것으로 기대된다.
2680,그녀는 의자를 앉았다.,그녀는 의자를 앉았다.
2681,인수가 순이를 손가락을 그렸다.,인수가 순이의 손가락을 그렸다.
2682,철수가 영희의 머리를 때렸다.,철수가 영희의 머리를 때렸다.
2683,은주는 쑥스럽고 말이 없는 아이였으나 총명했다.,은주는 수줍고 말이 없는 아이였으나 총명했다.
2684,저희가 주는 책입니다.,저희가 드리는 책입니다.
2685,혁재가 몸을 가볍고 싶었다.,철수가 몸이 가볍고 싶었다.
2686,그는 집을 돌아왔다.,그는 집에 돌아왔다.
2687,"쉽게 읽혀라, 이 책아!","잘 읽혀라, 책아!"
2688,집에 조부모님이 계신 사람 손 들어 보세요.,집에 조부모님이 계시는 사람 손 들어 보세요.
2689,그 책을 읽도록 하루 종일 설득하였다.,그 책을 읽도록 하루 종일 설득하였다.
2690,그는 철수가 오지 않은 것이 아주 슬프다.,그는 철수가 오지 않은 것이 아주 다행스럽다.
2691,살해받은 사람의 가족들은 어떤 심정일까.,살해당한 사람의 가족들은 어떤 심정일까.
2692,그는 그녀를 위해 멋진 생일 파티에 준비했다.,그는 그녀를 위해 멋진 생일 파티를 준비했다.
2693,너는 마치 선생님 행동하는구나.,너는 마치 선생님처럼 행동하는구나.
2694,박 선생은 떨어지는 낙엽에 발이 덮이는 것도 몰랐다.,박 선생은 떨어지는 낙엽에 발이 덮이는 것도 몰랐다.
2695,그는 한 시간 만에 방 청소를 하면서 음악을 듣는다.,그는 한 시간 만에 방 청소를 하면서 음악을 듣는다.
2696,치마에 맞추느라고 블라우스를 새로 사라.,치마에 맞추느라고 블라우스를 샀다.
2697,영화를 말입니다. 좀 보고 싶다 말입니다.,영화를 좀 말입니다. 보고 싶다 말입니다.
2698,너무 많이 먹었다가는 배탈이 났다.,너무 많이 먹었다가는 배탈이 난다.
2699,오후에 커피숍에서 커피를 마셔서 오후에 커피숍에서 친구를 만났어요.,오후에 커피숍에서 커피를 마시고 오후에 커피숍에서 친구를 만났어요.
2700,동생은 스페인어에 능통하나 불어에 능통하다.,동생은 스페인어나 불어에 능통하다.
2701,철수는 수업 전에 책이 읽어 두고 싶었다.,철수는 수업 전에 책을 읽어 두고 싶었다.
2702,여자 친구를 만나느라고 너무 기뻤다.,여자 친구를 만나서 너무 기뻤다.
2703,무엇을 누가 철수가 샀다고 말했냐?,누가 철수가 무엇을 샀다고 말했냐?
2704,진우가 어제는 왜 그랬나 보다.,진우가 어제는 왜 그랬나 싶다.
2705,김수근은 강제 소환의 충격으로 자신의 손목을 잘랐다.,김수근은 강제 소환의 충격으로 자신의 손목을 끊었다.
2706,영수가 기차에를 타고 부산에 갔다.,영수가 기차에를 타고 부산에 갔다.
2707,나는 어제 한숨도 못 잤어. 숙제를 하느라고.,나는 어제 한숨도 못 잤어. 숙제를 하느라고.
2708,내가 전화했기로 한다.,내가 전화하기로 했어.
2709,저 옷을 입어 버리고 싶다.,저 옷을 입어 버리고 싶다.
2710,주택 부족 문제는 서울에서부터의 문제이다.,주택 부족 문제는 서울에서의 문제이다.
2711,아버님께서는 당장이라도 갈 생각이시군.,아버님께서는 당장이라도 가실 생각이시군.
2712,그렇게 말씀하시니 너는 좀 새삼스러운 느낌입니다.,그렇게 말씀하시니 너는 좀 새삼스러운 느낌입니다.
2713,철수가 공부하러 도서관에 있다.,철수가 공부하러 도서관에 왔다.
2714,"그에게는 퍽 슬프게도, 철수가 오지 않았다.","그에게는 아주 다행스럽게도, 철수가 오지 않았다."
2715,영희가 그 장면을 슬피 묘사하였다.,영희가 그 장면을 슬피 묘사하였다.
2716,결국 시어머님이 나를 살려주신 셈이겠다.,결국 시어머님이 나를 살려 주신 셈이다.
2717,현대가 일본의 어딘가 기술 제휴를 한다고 한다.,현대가 일본의 어딘가와 기술 제휴를 한다고 한다.
2718,"얘들아, 선생님 오시더라.","얘들아, 선생님 오신다!"
2719,아침마다 운동을 하더니 내 배가 쑥 들어갔어.,아침마다 운동을 했더니 내 배가 쑥 들어갔어.
2720,순이가 붓을 벽을 칠했다.,순이가 붓으로 벽을 칠했다.
2721,어머니에게 그 남자의 안부가 묻고 싶은 충동을 느끼는 것입니다.,어머니에게 그 남자의 안부를 묻고 싶은 충동을 느끼는 것입니다.
2722,그 사실이 알려졌다.,그 사실이 알려졌다.
2723,우리가 골탕을 이 일에 먹었다.,우리가 이 일에 골탕을 먹었다.
2724,과일의 파인애플이 비싸다.,과일이 파인애플이 비싸다.
2725,졸면서 운전하다가는 큰일 나려고?,졸면서 운전하다가 큰일 나려고?
2726,세 명의 학생마다 학교에 간다.,세 명의 학생들이 학교에 간다.
2727,선교사의 도움으로 이 학교가 100년 전에 세우게 됐어요.,선교사의 도움으로 이 학교가 100년 전에 세워졌어요.
2728,철수는 집에 갈 것 정말 같다.,철수는 집에 갈 것 같다.
2729,바람이 남쪽에 불어온다.,바람이 남쪽에서 불어온다.
2730,열심히 공부하여. 그리고 빨리 연락 줘.,열심히 공부해. 그리고 빨리 연락 줘.
2731,재산이 형이 아우가 날렸음을 아는 것이다.,형은 아우가 재산을 날렸음을 안다.
2732,우리 둘은 가시방석에 앉는 기분으로 어머님의 말씀을 들었다.,우리 둘은 가시방석에 앉은 기분으로 어머님의 말씀을 들었다.
2733,내가 이 옷이 드는 것은 마음이다.,내가 이 옷이 마음에 든다.
2734,"김철수 씨, 여기 앉게.","김철수 군, 여기 앉게."
2735,이 단어에서는 정도성이 없다.,이 단어에는 정도성이 없다.
2736,누구에게부터를 막론하고 반말로 대한다.,누구에게를 막론하고 반말로 대한다.
2737,저분은 꽤 선생이다.,저분은 선생이다.
2738,인호는 생선을 먹어 왔다.,인호는 생선을 먹고 왔다.
2739,아무도 그 사람만 안 초대했냐?,아무도 그 사람을 안 초대했냐?
2740,철수는 교실에서 떠들고도 혼내지 마라.,철수는 교실에서 떠들고도 혼나지 않았다.
2741,내게 주어진 자유가 섬뜩하다.,나는 내게 주어진 자유가 두렵다.
2742,인수가 방에 기었다.,인수가 방에 기었다.
2743,정수가 칼로 두 자루 파 한 단을 썰었다.,정수가 칼로 두 자루 파 한 단을 썰었다.
2744,새 5천 원권은 좁다고 좋더군요. 작은 지갑에도 쏙 들어가고.,새 5천 원권은 좁아서 좋더군요. 작은 지갑에도 쏙 들어가고.
2745,그래서 그 일이 철회하고 싶은데.,그래서 그 일을 철회하고 싶은데.
2746,사람들이 1시간 만에 차들을 밀었다.,사람들이 1시간 동안 차들을 밀었다.
2747,아무도 불성실하다.,모든 학생이 불성실하다. 
2748,당신은 숙제를 할게요.,당신은 숙제를 할 것이에요.
2749,고기를 삼켰다가 소화시켰다.,고기를 삼켰다가 도로 뱉었다.
2750,진지 잡수어라.,진지 잡수세요.
2751,조개류와 서로 같이 뼈의 각질이 겉으로 나온 것은 먹지 못한다.,조개류같이 뼈의 각질이 겉으로 나온 것은 먹지 못한다.
2752,나는 연극과 함께 영화를 다른 장소에서 보았다.,나는 연극과 영화를 다른 장소에서 보았다.
2753,우리가 누구랑 놀까?,우리는 누구랑 놀까?
2754,나는 영미가 가술 것이라고 생각한다.,나는 영미가 가수일 것이라고 생각한다.
2755,철수는 사과를 먹어 싶었다.,철수는 사과를 먹고 싶었다.
2756,방문이 철수에게 열렸다.,철수가 방문을 열었다.
2757,도서관에서 영희는 지냈다.,영희는 도서관에서 지냈다.
2758,이 방은 매우 엉망이다.,이 방은 매우 엉망이다.
2759,트럭이 길을 차단시키고 있다.,트럭이 길을 차단하고 있다.
2760,순이는 개를 기르겠거나 고양이를 기르겠거나 하겠다.,순이는 개를 기르거나 고양이를 기르거나 하겠다.
2761,"아줌마, 소금을 좀 주세요.","아줌마, 소금 좀 주세요."
2762,집에 거의 다 와 온다.,집에 거의 다 와 간다.
2763,"철수가 영미를 만나자, 대석이도 영미를 그랬다.","철수가 영미를 만나자, 대석이도 그랬다."
2764,내가 물어봐도 너는 아무 대답은 안 했어.,내가 물어봐도 너는 아무 대답은 안 했어.
2765,내가 여기서 공부했더라.,여기가 내가 공부했던 방이야.
2766,멀리 밖에 바라보니 둘이 나와 있었다.,멀리 밖에를 바라보니 둘이 나와 있었다.
2767,돈이 많다 하니 듣기는 좋다마는 몇 그까짓 푼돈이 대수라고.,돈이 많다 하니 듣긴 좋다만 그까짓 몇 푼 돈이 뭐가 대수라고.
2768,1년 동안 꾸준히 운동을 한다고 살을 뺐다.,1년 동안 꾸준히 운동을 해서 살을 뺐다.
2769,변신을 하면 그건 방금 잊혀질 것 같아요.,변신을 하면 그건 금방 잊혀질 것 같아요.
2770,겨우 그 두 사람만으로 뭘 하겠다는 거냐?,겨우 그 두 사람만으로 뭘 하겠다는 거냐?
2771,꾀돌이는 먹돌이에게 자전거를 골랐다.,꾀돌이는 먹돌이에게 자전거를 골라 주었다.
2772,나는 벌에 쏘인 후 10분 동안 굉장히 따끔하더라.,나는 벌에 쏘인 후 10분 동안 굉장히 아프더라.
2773,제가 주는 책입니다.,제가 주는 책입니다.
2774,막말로는 어린 여자들은 굴러온 호박넝쿨이다.,막말로 어린 여자들은 굴러온 호박넝쿨이다.
2775,내가 바나나가 싫다.,나는 바나나가 싫다.
2776,철수는 학생이나?,철수는 학생인가?
2777,아무도 철수가 아이들을 초대하지 않았다.,아무도 철수가 아이들을 초대하지 않았다.
2778,철수가 옷을 벗어 밥을 먹는다. ,철수가 옷을 벗고 밥을 먹는다. 
2779,도대체 영희는 시험에 합격했다.,영희는 마땅히 시험에 합격했다.
2780,미국 정부는 인디언 보호 구역으로 이 지역을 조급히 지정했다.,미국 정부는 이 지역을 조급히 인디언 보호 구역으로 지정했다.
2781,진이가 버스로 탔다.,진이가 버스를 탔다.
2782,무전병의 보고를 받자 중대장이 무전기에서 다급한 목소리로 개시를 명령했다.,무전병의 보고를 받자 중대장이 무전기에서 다급한 목소리로 사격 개시를 명령했다.
2783,"학생, 영희는 두 명의 보았다.","학생을, 영희는 두 명을 보았다."
2784,초가 지붕 연기가 나오고 있었다.,초가 지붕에서 연기가 나오고 있었다.
2785,영희는 아버지가 나쁘게 생각한다.,영희는 아버지를 나쁘게 생각한다.
2786,김 선생님은 발이 참 넓으시다!,김 선생님은 발이 참 넓으시다!
2787,더욱 놀라온 것은 방금도 폭행으로 가까운 교도소에서 복역 중이란 기록이었다.,더욱 놀라온 것은 방금도 폭행으로 가까운 교도소에서 복역 중이란 기록이었다.
2788,범인들은 뒷길만으로 빠져나갔다.,범인들은 뒷길로만 빠져나갔다.
2789,그러한 것을 하늘의 뜻이라고 하다.,그러한 것을 하늘의 뜻이라고 한다.
2790,나는 그의 이름을 알고 있는 중이다.,나는 그의 이름을 알고 있다.
2791,철수는 지금 장갑을 끼어 있다.,철수는 지금 장갑을 끼어 있다.
2792,나는 중을 제 머리 못 깎는다고 생각해.,나는 중이 제 머리 못 깎는다고 생각해.
2793,소매치기가 아가씨를 지갑을 빼앗았다.,아가씨가 소매치기에게 지갑을 빼앗겼다.
2794,나는 밥이 지어서 먹고 싶었다.,나는 밥을 지어먹고 싶었다.
2795,철수와 영희는 생각보다 만난다.,철수와 영희는 생각보다 자주 만난다.
2796,일이 방해가 되는 돌덩이나 이렇게 거칠게 다루지는 않을 것이다.,일이 방해가 되는 돌덩이라도 이렇게 거칠게 다루지는 않을 것이다.
2797,철수까지 시험에 떨어졌구나. 그럴 줄 몰랐는데.,철수까지 시험에 떨어졌구나. 그럴 줄 몰랐는데.
2798,낙엽이 선생님에게 떨어지셨다.,낙엽이 선생님에게 떨어졌다.
2799,귀밑으로 좀 잘라주세요.,귀밑으로 조금 잘라주세요.
2800,이번 사건으로 그는 어려움을 처했다.,이번 사건으로 그는 어려움에 처했다.
2801,재빠르게 달리는 신간선 열차 창밖으로 후지산이 보인다.,재빠르게 달리는 신간선 열차 창밖으로 후지산이 보인다.
2802,철수 제일 먼저 학교에 갔다.,철수가 제일 먼저 학교에 갔다.
2803,이 사과는 내가 먹을게.,이 사과는 내가 먹을 것이야.
2804,영희는 부산까지 걷고 갔다.,영희는 부산까지 걸어갔다.
2805,그는 바닷가에서 죽어 있었다.,그는 바닷가에 죽어 있었다.
2806,취객과 가로수가 부딪쳤다.,취객이 가로수와 부딪쳤다.
2807,건물이 보너스를 주었다.,건물이 보너스를 주었다.
2808,내일 오전 11시에서 12시 동안에 오세요.,내일 오전 11시에서 12시 사이에 오세요.
2809,농촌 지역에서는 공동체 의식이 강하고서 이웃과의 협력이 잘 이루어지고 있다.,농촌 지역에서는 공동체 의식이 강하고 이웃과의 협력이 잘 이루어지고 있다.
2810,어제는 숙제를 한다고 해서 밤을 꼬박 새웠다.,어제는 숙제를 한다고 밤을 꼬박 새웠다.
2811,선생님들은 어디 계셔도 상관없으시다.,선생님들은 어디 계셔도 상관없다.
2812,화자 A: 누가 왔어요? / 화자 B: 영희는 왔단다.,화자 A: 누가 왔어요? / 화자 B: 영희는 왔단다.
2813,"돈이 떨어지면, 철수가 신문을 돌리는 일은 있어도, 영희가 파출부 일을 나가는 일은 없을 거야.","돈이 떨어지면, 철수가 신문을 돌리는 일은 있어도, 영희가 파출부 일을 나가는 일은 없을 거야."
2814,나로서는 철수가 혼자 밥을 먹고 있는 것이 나에게 포착됐다.,철수가 혼자 밥을 먹고 있는 것이 나에게 포착됐다.
2815,경애는 영호가 침착하게 하였다.,경애는 영호를 침착하게 하였다.
2816,나는 두 시간 동안에 등이 가려웠다.,나는 두 시간 동안 등이 가려웠다.
2817,해가 진 후 한 시간도 안 돼서 밤하늘에 수많은 별들이 반짝였다.,해가 진 후 한 시간도 안 돼서 밤하늘에 수많은 별들이 반짝였다.
